dataset,n_segments,seed,lambda_source,fisher_batch_size,fisher_batches,fisher_samples,n_steps,chain_dist_from_base,mean_unconstrained_dist,ratio_p4
ETTh1,3,123,became,128,64,8192,3,0.880648136138916,1.815948208173116,0.48495223166351614
ETTh1,3,42,became,128,64,8192,3,0.6810443997383118,1.6633024215698242,0.40945314027472063
ETTh1,3,7,became,128,64,8192,3,0.7232089638710022,1.4147884448369343,0.5111781669621692
ETTh2,2,123,became,128,64,8192,2,0.17574769258499146,1.9778104200959206,0.08885972629088888
ETTh2,2,42,became,128,64,8192,2,5.848748207092285,6.371321201324463,0.9179804348706284
ETTh2,2,7,became,128,64,8192,2,0.16905346512794495,1.8630946800112724,0.09073798929366386
ETTh2,3,123,became,128,64,8192,3,2.8014450073242188,3.503554662068685,0.79960077051291
ETTh2,3,42,became,128,64,8192,3,4.0721211433410645,4.578317006429036,0.8894362573895269
ETTh2,3,7,became,128,64,8192,3,3.3879141807556152,3.969442129135132,0.8534988218845199
ETTh2,5,123,became,128,64,8192,5,1.0693050622940063,2.0644476413726807,0.517961822263998
ETTh2,5,42,became,128,64,8192,5,0.7232586741447449,2.187429702281952,0.3306431623335063
ETTh2,5,7,became,128,64,8192,5,1.2132976055145264,2.248490571975708,0.5396053782197644
ETTm2,2,123,became,128,64,8192,2,4.946622848510742,5.409722566604614,0.9143949227724382
ETTm2,2,42,became,128,64,8192,2,4.89900016784668,5.900644540786743,0.8302483116858769
ETTm2,2,7,became,128,64,8192,2,4.54093599319458,5.540508031845093,0.8195883783751801
ETTm2,3,123,became,128,64,8192,3,3.6084985733032227,5.703688780466716,0.6326604960742529
ETTm2,3,42,became,128,64,8192,3,5.428557872772217,6.247236410776774,0.8689534885229733
ETTm2,3,7,became,128,64,8192,3,4.237950325012207,5.823302110036214,0.7277572492260499
ETTm2,5,123,became,128,64,8192,5,4.8375325202941895,5.3788378715515135,0.899363884135592
ETTm2,5,42,became,128,64,8192,5,5.626495361328125,6.280440330505371,0.8958759362777634
ETTm2,5,7,became,128,64,8192,5,4.809172630310059,5.648893356323242,0.8513477467098544
exchange_rate,3,123,became,128,64,8192,3,0.9788335561752319,1.4318188627560933,0.6836294601476931
exchange_rate,3,42,became,128,64,8192,3,0.6483093500137329,1.3619191646575928,0.47602630672777685
exchange_rate,3,7,became,128,64,8192,3,1.0278609991073608,1.373430649439494,0.7483894432724635
PSM,3,123,became,64,64,4096,3,0.7403811812400818,0.7393001914024353,1.0014621798427996
PSM,3,42,became,64,64,4096,3,0.5993696451187134,0.6300696730613708,0.9512751854989422
PSM,3,7,became,64,64,4096,3,0.7010560035705566,0.7020241816838583,0.9986208764048848
SWaT,3,123,became,64,64,4096,3,0.4274928569793701,0.7169482509295145,0.5962673825134951
SWaT,3,42,became,64,64,4096,3,0.5072502493858337,0.7182205319404602,0.706259744504052
SWaT,3,7,became,64,64,4096,3,0.3165532052516937,0.7425071795781454,0.4263301607824763
ETTh1,3,123,became,1,512,512,3,1.83527410030365,2.420146187146505,0.7583319181505916
ETTh1,3,42,became,1,512,512,3,1.4903956651687622,1.8652629057566326,0.7990271294030759
ETTh1,3,7,became,1,512,512,3,1.1547925472259521,1.5537306467692058,0.743238572031261
ETTh2,2,123,became,1,512,512,2,0.22799578309059143,1.9770551100373268,0.11532090427478618
ETTh2,2,42,became,1,512,512,2,5.325366973876953,6.152749061584473,0.8655264371379303
ETTh2,2,7,became,1,512,512,2,0.28458482027053833,1.8633898422122002,0.15272425223306021
ETTh2,3,123,became,1,512,512,3,2.745950937271118,3.46337898572286,0.7928531496526351
ETTh2,3,42,became,1,512,512,3,3.953789710998535,4.397775967915853,0.8990430026094015
ETTh2,3,7,became,1,512,512,3,3.307889461517334,3.92982808748881,0.841738973785772
ETTh2,5,123,became,1,512,512,5,1.0710653066635132,2.0585017681121824,0.5203130370132105
ETTh2,5,42,became,1,512,512,5,0.7540175914764404,2.1552832245826723,0.34984617468195667
ETTh2,5,7,became,1,512,512,5,1.2097129821777344,2.250590944290161,0.5375090419015612
ETTm2,2,123,became,1,512,512,2,4.700883388519287,5.3011744022369385,0.8867626363199169
ETTm2,2,42,became,1,512,512,2,5.550278663635254,6.174675226211548,0.8988778292458646
ETTm2,2,7,became,1,512,512,2,4.888518333435059,5.682220697402954,0.8603182793778751
ETTm2,3,123,became,1,512,512,3,5.931434631347656,6.83665672938029,0.8675928697513108
ETTm2,3,42,became,1,512,512,3,5.966734409332275,6.566074848175049,0.9087216559815258
ETTm2,3,7,became,1,512,512,3,5.768630027770996,6.575437068939209,0.8772998611789053
ETTm2,5,123,became,1,512,512,5,4.708803176879883,5.363068008422852,0.8780054941471137
ETTm2,5,42,became,1,512,512,5,5.302286148071289,6.105955791473389,0.8683793871347091
ETTm2,5,7,became,1,512,512,5,4.6675639152526855,5.48493537902832,0.8509788343357957
exchange_rate,3,123,became,1,512,512,3,1.1239640712738037,1.4402694702148438,0.780384570052813
exchange_rate,3,42,became,1,512,512,3,1.0055902004241943,1.4036640127499898,0.7164037770364229
exchange_rate,3,7,became,1,512,512,3,1.0481383800506592,1.3440696597099304,0.7798244476977946
exchange_rate,3,123,one_over_t,0,0,0,3,0.8327179551124573,1.3815841873486836,0.6027269005665713
exchange_rate,3,42,one_over_t,0,0,0,3,0.8321053385734558,1.4061099886894226,0.5917782714487556
exchange_rate,3,7,one_over_t,0,0,0,3,0.7655557990074158,1.2930436531702678,0.5920571955404876
